id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,2_wheeler_motor,4_wheeler_motor,bikes_scooters
2020-05-21 06,20.8,0.253,69.5,22.8,11.1,,,
2020-05-21 07,28.7,0.333,63.4,24.7,11.9,,,
2020-05-21 08,26.2,0.306,82,,14.8,,,
2020-05-21 09,10.7,0.246,102.6,,10.2,,,
2020-05-21 10,7,0.239,109.8,,6.9,,,
2020-05-21 11,7.6,0.249,121.7,,7.5,,,
2020-05-21 12,6.6,0.237,127.4,,9.2,,,
2020-05-21 13,6.2,0.24,130.9,,7.4,,,
2020-05-21 14,6.2,0.248,133.6,,10,,,
2020-05-21 15,9.3,0.255,125.6,,10.4,,,
2020-05-21 16,8.2,0.237,118.5,,9.4,,,
2020-05-21 17,9.5,0.253,115.2,,9,,,
2020-05-21 18,10.9,0.263,98.6,,8.4,,,
2020-05-21 19,13,0.281,88.5,,7.7,,,
2020-05-21 20,17.2,0.299,74,,7.1,,,
2020-05-21 21,27.7,0.34,51.4,,7.2,,,
2020-05-21 22,49.5,0.318,27.3,,9.9,,,
2020-05-21 23,46.4,0.282,31.6,,12.8,,,
2020-05-22 00,30,0.235,45.4,,12.2,,,
2020-05-22 01,28.2,,46.4,,9.8,,,
2020-05-22 02,23.9,0.188,51.6,,10.4,,,
2020-05-22 03,17.8,0.179,52.7,,9,,,
2020-05-22 04,34.6,0.198,34,,9.2,,,
2020-05-22 05,50.7,0.23,20.3,,11.6,,,
2020-05-22 06,35.1,0.213,51.3,,13,,,
2020-05-22 07,19.8,0.175,73.1,,10.2,,,
2020-05-22 08,17.5,0.17,80.3,,8.7,,,
2020-05-22 09,13.9,0.158,82.4,,8.5,,,
2020-05-22 10,11,0.16,69.4,,7.5,,,
2020-05-22 11,9.3,0.149,65.4,,7.6,,,
2020-05-22 12,7.2,0.145,64.5,,6.6,,,
2020-05-22 13,7.4,0.152,72.9,,6.2,,,
2020-05-22 14,8.5,0.161,73.6,,7.2,,,
2020-05-22 15,12.7,0.18,58,,6.9,,,
2020-05-22 16,12.3,0.186,52.5,,7.6,,,
2020-05-22 17,11.6,0.171,57.9,12.1,5.9,,,
2020-05-22 18,11.6,0.155,64.7,12.2,4.8,,,
2020-05-22 19,10,0.139,67,10,4.4,,,
2020-05-22 20,11.2,0.156,58.5,9.2,5.1,,,
2020-05-22 21,9.1,0.147,62,13.8,6.8,,,
2020-05-22 22,9.5,0.167,62.4,20.9,8.4,0,5,191
2020-05-22 23,11.1,0.173,55.7,22.5,10.7,0,0,93
2020-05-23 00,7.9,0.156,59,25.2,8.9,0,0,72
2020-05-23 01,7.4,,58.5,28.2,9.5,0,0,41
2020-05-23 02,6.7,0.139,52.7,28.5,10.1,0,0,31
2020-05-23 03,9.6,0.118,60.7,28.6,10,0,0,20
2020-05-23 04,6.6,0.127,63.7,25.4,7.3,0,16,34
2020-05-23 05,7.6,0.14,62.6,21.8,5.2,0,18,24
2020-05-23 06,7.7,0.138,68.7,15.4,4.9,0,22,42
2020-05-23 07,7.6,0.143,71.7,13.2,2.6,1,16,156
2020-05-23 08,7.5,0.132,73.6,9.5,3.9,0,19,345
2020-05-23 09,5.2,0.133,73.6,12.8,5.3,0,0,413
2020-05-23 10,3.7,0.134,73,14.8,4.5,0,15,564
2020-05-23 11,3.5,0.12,72.8,16.4,4,0,15,486
2020-05-23 12,3.8,0.119,73.7,17.4,6.3,0,24,796
2020-05-23 13,4.5,0.131,72.7,20.7,7.8,0,20,1106
2020-05-23 14,5,0.121,75.4,22,6.5,0,12,471
2020-05-23 15,5.7,0.13,74.6,35,6,0,24,1361
2020-05-23 16,6,0.131,75,27.9,5.3,0,22,1223
2020-05-23 17,5.6,0.117,77.4,21.2,4.8,0,15,1104
2020-05-23 18,6.9,0.119,75.6,19.1,6.3,0,12,582
2020-05-23 19,6.9,0.123,75,16,5.5,0,10,354
2020-05-23 20,6.3,0.133,73.3,15.9,6.8,0,0,384
2020-05-23 21,7.7,0.138,68.9,15.7,6.5,0,5,261
2020-05-23 22,6.2,0.129,68.8,15.1,4.9,0,4,187
2020-05-23 23,6.5,0.13,65.9,15.5,5.9,0,0,95
2020-05-24 00,6.9,0.131,64,15.2,6.8,0,0,110
2020-05-24 01,,,63.1,16,5.4,0,0,40
2020-05-24 02,4.7,0.128,61.5,15.1,4.6,0,0,30
2020-05-24 03,4,0.124,61.3,17.3,4.8,0,0,22
2020-05-24 04,4,0.122,59.7,18,4.9,0,0,41
2020-05-24 05,4.3,0.124,57.2,20.7,6.4,0,12,68
2020-05-24 06,5,0.132,57.6,20.8,5.2,0,10,133
2020-05-24 07,3.9,0.124,63.8,22.3,6.6,0,11,298
2020-05-24 08,3.8,0.126,65.3,24.2,6.6,0,7,71
2020-05-24 09,3.9,0.134,69.1,27.7,8.2,0,12,457
2020-05-24 10,3.7,0.136,70.4,25.4,9.3,0,9,757
2020-05-24 11,3.7,0.142,70.4,20.6,7.6,0,14,424
2020-05-24 12,3.6,0.145,76,23.7,8.8,0,11,769
2020-05-24 13,3.7,0.149,79.7,30.7,11.8,0,12,1139
2020-05-24 14,3.9,0.145,82.6,26.2,9.2,0,12,1447
2020-05-24 15,4,0.144,83.8,27.7,10.7,0,0,1197
2020-05-24 16,3.8,0.15,83.7,28.6,8.3,0,13,1224
2020-05-24 17,4.4,0.153,83.9,19.4,9.4,1,12,792
2020-05-24 18,5.9,0.164,82,21.4,10.8,0,9,588
2020-05-24 19,7,0.166,79.8,20.3,8.8,0,9,352
2020-05-24 20,10.3,0.178,74.7,19.3,10.5,0,6,310
2020-05-24 21,12.8,0.182,66.4,20.5,10,0,4,205
2020-05-24 22,12,0.184,60.2,18.3,8.7,0,6,21
2020-05-24 23,11.7,0.179,58.1,19.1,8.2,0,1,59
2020-05-25 00,8.4,0.168,58.3,19.5,10.1,0,0,26
2020-05-25 01,8,,58.4,17.5,7.5,0,1,21
2020-05-25 02,12.2,0.175,53.4,18.2,7.5,0,0,23
2020-05-25 03,13.1,0.174,51.2,17.7,7.8,0,3,33
2020-05-25 04,13.6,0.17,53,18.4,7.5,0,26,23
2020-05-25 05,22.5,0.194,45.4,18.8,7.6,0,0,167
2020-05-25 06,20.2,0.197,51,21.5,8.7,0,19,822
2020-05-25 07,33.4,0.226,40.5,26.9,8.8,0,12,869
2020-05-25 08,30,0.22,50.5,31.5,10.1,0,0,454
2020-05-25 09,14.5,0.193,71.9,28.8,10.2,0,23,334
2020-05-25 10,8.8,0.189,82.3,23.5,8.9,0,24,560
2020-05-25 11,6.2,0.188,88.1,26.8,11.2,0,0,633
2020-05-25 12,7.6,0.188,88.5,23.5,8.4,0,22,697
2020-05-25 13,6.8,0.179,90.4,23,7.4,0,0,745
2020-05-25 14,6.6,0.185,88,28.7,6.6,0,23,852
2020-05-25 15,7.1,0.186,88,20.3,7.9,0,19,1132
2020-05-25 16,7.9,0.185,87.6,25,8.9,0,23,969
2020-05-25 17,8,0.187,89.9,30.2,10,0,0,799
2020-05-25 18,10.4,0.212,87,26.1,8.3,1,0,215
2020-05-25 19,12.3,0.214,88.8,20.2,12.3,0,12,207
2020-05-25 20,18.7,0.223,81.5,21.3,12.4,0,10,350
2020-05-25 21,26.5,0.224,67.8,21.5,11.9,0,6,198
2020-05-25 22,32,0.191,61.4,21.9,11.4,0,7,101
2020-05-25 23,27.7,0.183,61,23.4,12.3,0,0,54
2020-05-26 00,22.9,0.171,61.4,25.4,11.5,0,0,19
2020-05-26 01,17.9,,61.9,24.2,10.4,0,1,15
2020-05-26 02,22.8,0.171,54.7,22,9.4,0,0,15
2020-05-26 03,24.9,0.167,47.7,21.1,8.8,0,2,43
2020-05-26 04,26.2,0.17,43,21.7,,0,16,99
2020-05-26 05,36.1,0.191,34,29.5,,0,40,229
2020-05-26 06,43.8,0.216,31.1,30.2,,0,22,702
2020-05-26 07,39.3,0.219,39.7,39,,0,1,769
2020-05-26 08,26.3,0.201,60.2,37.5,,0,27,635
2020-05-26 09,16.5,0.176,84.3,37.6,,0,22,612
2020-05-26 10,10.7,0.163,91.3,28.5,,0,21,387
2020-05-26 11,7.7,0.155,97.8,25.7,,0,27,395
2020-05-26 12,8.2,0.152,99.8,19.9,,0,18,543
2020-05-26 13,,,99.4,16.3,,0,20,469
2020-05-26 14,9,0.127,102.4,,,0,20,730
2020-05-26 15,9.5,0.121,102.1,,,0,24,1247
2020-05-26 16,8.8,0.118,104.2,,,0,22,1598
2020-05-26 17,10.1,0.128,105.6,22.6,,0,17,1536
2020-05-26 18,10.6,0.135,108.4,19.8,,0,16,1034
2020-05-26 19,13.5,0.146,97.3,22.1,,0,13,438
2020-05-26 20,22.3,0.166,81,21,,0,7,452
2020-05-26 21,28.7,0.18,68.2,24.6,,0,8,387
2020-05-26 22,24.2,0.195,72.2,25.6,,0,7,226
2020-05-26 23,16.9,0.172,71.9,27.1,,0,0,60
2020-05-27 00,14.2,0.167,69.9,24.5,,0,1,32
2020-05-27 01,13.2,,74.8,21.6,,0,0,33
2020-05-27 02,15.2,0.167,69.6,22.1,,0,0,21
2020-05-27 03,16.7,0.171,65.2,21.7,,0,5,41
2020-05-27 04,20.5,0.172,57.4,21.6,,0,21,106
2020-05-27 05,32,0.19,45.8,22.8,,0,21,344
2020-05-27 06,35.3,0.204,45.7,29,,0,21,422
2020-05-27 07,39,0.23,48.3,33,,0,30,834
2020-05-27 08,31.4,0.204,67.1,41.8,,0,24,452
2020-05-27 09,19.7,0.188,91.6,36.3,,0,28,648
2020-05-27 10,12.3,0.178,115.3,29.8,,0,0,704
2020-05-27 11,9.9,0.181,121.8,27.7,,0,23,773
2020-05-27 12,10.4,0.18,117.9,33.9,,0,20,493
2020-05-27 13,10.1,0.17,120,35.8,,0,23,442
2020-05-27 14,9.6,0.181,125.4,30.1,,0,16,516
2020-05-27 15,10.3,0.185,122.3,32.1,,0,20,611
2020-05-27 16,9.7,0.186,110.3,36.5,,1,21,1684
2020-05-27 17,11.4,0.205,106.6,26.5,9.3,0,16,1614
2020-05-27 18,11,0.174,107.5,23.3,7.8,1,16,1018
2020-05-27 19,11.8,0.168,96.7,22.1,7.7,0,12,577
2020-05-27 20,12.9,0.165,86.1,28.8,6.3,0,0,498
2020-05-27 21,12.3,0.153,80.6,25.1,6.1,0,9,414
2020-05-27 22,10,0.144,77.4,20,4.7,0,6,225
2020-05-27 23,9.9,0.151,70.6,19.2,3.9,0,1,121
2020-05-28 00,9.7,0.155,65.6,17.8,6.2,0,0,31
2020-05-28 01,9.5,,59.3,15.2,5.5,0,0,40
2020-05-28 02,9,0.148,58.3,15.9,6,0,3,27
2020-05-28 03,10.5,0.147,53.7,15.2,6,0,1,46
2020-05-28 04,16.3,0.157,45.1,14.8,6.2,0,21,85
2020-05-28 05,20.5,0.177,40.8,18.5,7.1,0,34,225
2020-05-28 06,22,0.199,41.1,31.1,10.4,0,0,907
2020-05-28 07,22.5,0.215,43.3,45.4,14.4,0,24,1013
2020-05-28 08,22.2,0.231,49.1,38.5,16.1,0,0,232
2020-05-28 09,18.8,0.217,64.9,41,16.3,0,32,402
2020-05-28 10,14,0.204,86.7,35.8,15.8,1,19,489
2020-05-28 11,10.9,0.199,96.3,30.5,12.7,0,24,385
2020-05-28 12,9.2,0.182,101.3,19.9,8.3,0,21,548
2020-05-28 13,9.2,0.173,101,20.3,6.9,0,21,893
2020-05-28 14,9,0.174,99.7,22.9,7.8,0,18,1012
2020-05-28 15,9.7,0.16,100.7,27.3,6.1,0,22,1123
2020-05-28 16,9.2,0.148,102.1,23.2,4.7,0,23,1516
2020-05-28 17,9.2,0.16,101.8,20,4.2,0,16,1704
2020-05-28 18,10.6,0.166,96.3,12.8,5,0,18,1068
2020-05-28 19,14.5,0.175,92.7,20.6,6.4,0,10,635
2020-05-28 20,15.9,0.174,87.9,24.4,5.9,0,9,566
2020-05-28 21,15.2,0.174,88.5,24.2,6.2,0,7,502
2020-05-28 22,12.3,0.146,88.1,22.1,5.6,0,7,249
2020-05-28 23,12.1,0.144,83.7,27.3,7.1,0,0,129
2020-05-29 00,11.8,0.147,80.3,25,8.1,0,2,55
2020-05-29 01,11.5,,77.1,21.1,6.6,0,0,40
2020-05-29 02,11.4,0.146,73.2,20.8,6.5,0,3,22
2020-05-29 03,14,0.149,69.2,18.7,6.7,0,6,34
2020-05-29 04,22.5,0.157,59,19.8,6.2,0,1,99
2020-05-29 05,31.8,0.164,52.2,21.7,7.7,0,33,319
2020-05-29 06,25.8,0.167,59.7,20.5,6.9,0,0,712
2020-05-29 07,21.6,0.176,64.3,20.2,6.5,0,28,867
2020-05-29 08,18.7,0.171,70.2,21.7,6.6,0,25,463
2020-05-29 09,13.3,0.154,84.3,22.4,7.4,0,28,733
2020-05-29 10,10.2,0.146,94.6,26,7.4,0,25,414
2020-05-29 11,8.1,0.14,100.1,22.4,6,0,0,765
2020-05-29 12,8,0.136,101.3,24.3,7.9,0,20,915
2020-05-29 13,8.1,0.136,104,19.2,7.4,0,19,936
2020-05-29 14,8,0.136,103.6,22,8.2,0,21,1202
2020-05-29 15,8.4,0.141,102.7,19.6,7.2,0,23,906
2020-05-29 16,9.1,0.148,103,18.7,8.6,0,23,196
2020-05-29 17,9.1,0.149,102.6,24.6,5.6,0,18,728
2020-05-29 18,10.1,0.152,104.8,19.1,6.6,0,14,1098
2020-05-29 19,12.7,0.17,98,16,6.4,0,14,633
2020-05-29 20,17.6,0.189,88.6,17.5,6.9,0,10,414
2020-05-29 21,24.1,0.228,72.8,25,8.1,0,0,454
2020-05-29 22,38.3,0.235,53.2,27.6,9.2,0,5,425
2020-05-29 23,43.6,0.208,49.4,27.1,11.2,0,0,273
2020-05-30 00,47.2,0.227,40.5,23.1,11.2,0,0,188
2020-05-30 01,34.6,,51.6,21.1,10.7,0,1,110
2020-05-30 02,28.5,0.18,50.4,21.8,11.4,0,0,60
2020-05-30 03,20.1,0.169,56.9,23.4,12.3,0,3,46
2020-05-30 04,24.6,0.177,52.6,22.7,11.5,0,11,65
2020-05-30 05,26.2,0.174,54,27.5,13.2,0,18,101
2020-05-30 06,27.9,0.181,57.7,24.8,10.8,0,0,187
2020-05-30 07,18.3,0.161,74.4,19.5,8.7,0,17,373
2020-05-30 08,10.7,0.14,91.7,20.9,7.5,0,0,469
2020-05-30 09,7,0.127,100,22.1,7,0,18,524
2020-05-30 10,6.3,0.13,104,13.4,7.4,0,0,684
2020-05-30 11,6.4,0.127,106.2,13.2,5.1,0,18,953
2020-05-30 12,6.2,0.125,108,17.7,6.7,0,0,1034
2020-05-30 13,6.8,0.126,109.6,23.2,7.6,0,21,1520
2020-05-30 14,8,0.133,106.1,28.2,8.4,0,24,1683
2020-05-30 15,7.4,0.123,106.6,32.1,7.6,0,26,1689
2020-05-30 16,8.5,0.125,102.4,21.7,7.3,0,0,1540
2020-05-30 17,8.2,0.128,103.3,31.7,8.5,1,20,1335
2020-05-30 18,9.5,0.138,101.7,27.8,8.1,0,9,790
2020-05-30 19,11.5,0.148,93.3,20.4,7,0,10,439
2020-05-30 20,17.6,0.171,79,19.5,9.7,0,10,297
2020-05-30 21,23.6,0.186,67.7,18.5,9.7,0,5,416
2020-05-30 22,21.5,0.192,69.7,19.5,9,0,6,202
2020-05-30 23,13.2,0.179,79.2,16.1,8.1,0,0,185
2020-05-31 00,11.7,0.162,79.7,17.6,7.1,0,0,194
2020-05-31 01,,,77,13.9,6.6,0,0,84
2020-05-31 02,8,0.149,74.9,14.4,6.8,0,0,48
2020-05-31 03,6.9,0.145,75.3,13.3,5.8,0,0,38
2020-05-31 04,7.1,0.143,73.5,14,4.5,0,0,56
2020-05-31 05,7.1,0.147,73,13.3,5.5,0,15,29
2020-05-31 06,6.4,0.145,74.1,16,4.9,0,7,124
2020-05-31 07,6.7,0.149,78,11.3,5,0,9,254
2020-05-31 08,5.1,0.142,81.7,9.7,4.3,0,7,272
2020-05-31 09,4.4,0.144,85.7,13.4,5.7,0,0,871
2020-05-31 10,4.2,0.143,88.2,15.2,6,0,9,834
2020-05-31 11,4.1,0.146,90,16.2,3.2,0,14,757
2020-05-31 12,4.4,0.149,89.4,19.7,5.3,0,10,439
2020-05-31 13,4.2,0.149,90.6,13.2,3.1,0,11,1118
2020-05-31 14,4.4,0.145,89.7,16,2.5,0,2,1450
2020-05-31 15,4.8,0.144,89.4,15.7,6,1,13,1505
2020-05-31 16,5.2,0.146,89.3,16.9,7.2,1,13,1404
2020-05-31 17,5.8,0.153,87.6,17.8,5.8,0,11,1044
2020-05-31 18,7,0.161,86,13.7,5.3,0,7,773
2020-05-31 19,9.3,0.166,85.4,11.9,6.5,0,11,414
2020-05-31 20,15.6,0.201,74.7,14,7.3,0,5,390
2020-05-31 21,24,0.228,63.2,14.8,7.3,0,3,159
2020-05-31 22,20.8,0.208,67.2,15.5,7.5,0,6,138
2020-05-31 23,24.2,0.221,57.8,13.8,8.4,0,0,102
2020-06-01 00,17.5,0.206,62.6,10.7,8.5,0,0,82
2020-06-01 01,14.6,,63.5,14.3,6,0,1,41
2020-06-01 02,8.9,0.176,69.5,13.6,6.5,0,1,12
2020-06-01 03,8.1,0.183,67.9,10.9,5.2,0,0,21
2020-06-01 04,10.6,0.183,62.5,15.6,7.2,0,0,53
2020-06-01 05,12.4,0.193,59.4,16.6,8.4,0,9,91
2020-06-01 06,12.4,0.195,61.8,15.2,5.2,0,12,360
2020-06-01 07,11.9,0.204,65.5,16.8,6,0,12,399
2020-06-01 08,11.1,0.207,75.9,17.9,7,0,15,344
2020-06-01 09,9.2,0.199,90.5,21.4,7.4,0,0,796
2020-06-01 10,6.7,0.191,102,22,7.4,0,14,887
2020-06-01 11,5.8,0.19,103.7,24.2,7.3,0,0,438
2020-06-01 12,6.2,0.191,104,13.5,5.5,0,10,934
2020-06-01 13,5.8,0.191,102.4,20.8,7.5,0,14,1278
2020-06-01 14,5.9,0.209,100.3,26.6,9.1,0,12,1437
2020-06-01 15,6,0.209,98.6,22.7,7.1,0,0,1445
2020-06-01 16,6.4,0.222,98,21.7,7.1,1,15,1594
2020-06-01 17,7.3,0.23,97.6,20.1,7.7,0,12,1252
2020-06-01 18,7.6,0.236,95.4,29.1,7.1,0,10,829
2020-06-01 19,11,0.264,89,16.1,6.6,0,8,414
2020-06-01 20,20.6,0.315,70.3,27.1,9.5,0,7,416
2020-06-01 21,34.8,0.389,50.6,29.6,10.8,0,6,312
2020-06-01 22,66.9,0.358,21.6,36.5,14,0,3,88
2020-06-01 23,50.2,0.299,36.8,33.5,14.5,0,0,96
2020-06-02 00,26.2,0.225,58.6,24.6,13.8,0,0,60
2020-06-02 01,21.4,,56.1,20.1,9.9,0,1,32
2020-06-02 02,18,0.204,56.1,21,9.8,0,2,35
2020-06-02 03,17.5,0.199,55.8,19.4,10.2,0,9,40
2020-06-02 04,25.9,0.199,50.7,21.9,10.8,0,19,120
2020-06-02 05,36.7,0.216,41.7,25.8,10.7,0,29,401
2020-06-02 06,44.7,0.317,40.8,29.1,13.5,0,26,1283
2020-06-02 07,55.1,0.328,39.1,,20.6,0,26,1291
2020-06-02 08,54.4,0.286,53.1,,13.9,0,26,443
2020-06-02 09,22.2,0.185,101.6,,14.2,0,30,621
2020-06-02 10,11.7,0.168,113.3,,10.4,0,0,679
2020-06-02 11,9.6,0.173,118.6,,8.8,0,22,622
2020-06-02 12,8.2,0.167,124.3,,10.3,0,14,320
2020-06-02 13,9.1,0.153,129.2,,10.2,0,18,791
2020-06-02 14,11.1,0.164,128.5,,11.8,0,17,903
2020-06-02 15,10.4,0.173,131.5,,12.2,0,1,1105
2020-06-02 16,11.1,0.176,128.9,,10.7,0,24,1891
2020-06-02 17,13.9,0.197,122.7,,13.4,0,19,1826
2020-06-02 18,13.6,0.199,121,,11.8,0,18,1152
2020-06-02 19,,0.214,,,12.5,0,12,719
2020-06-02 20,,0.245,,,12.3,0,11,627
2020-06-02 21,,0.262,,,13.7,0,6,598
2020-06-02 22,,0.189,,,13,0,7,296
2020-06-02 23,,0.185,,,13,1,1,162
2020-06-03 00,,0.188,,,12.1,0,0,64
2020-06-03 01,,,,,10.6,0,2,52
2020-06-03 02,,0.164,,,9.6,0,1,33
2020-06-03 03,,0.159,,,10.9,0,0,69
2020-06-03 04,,0.17,,,10.9,0,28,82
2020-06-03 05,,0.175,,,11.7,0,0,412
2020-06-03 06,40.9,0.196,,30.2,11.7,0,0,1167
2020-06-03 07,41.9,0.253,,34.1,12.1,0,31,1298
2020-06-03 08,26.3,0.178,,32.4,11.8,0,34,267
2020-06-03 09,15.9,0.162,,29,9.8,0,36,381
2020-06-03 10,11.8,0.146,,29.8,9.6,0,29,754
2020-06-03 11,10.5,0.153,,27.4,9,0,25,776
2020-06-03 12,14.6,0.163,,24.3,10.7,0,19,609
2020-06-03 13,12.5,0.178,,,10.6,1,20,610
2020-06-03 14,11.2,0.173,,,12.6,0,18,1003
2020-06-03 15,9.6,0.163,,,13.1,2,24,1210
2020-06-03 16,10.7,0.172,,,12,0,22,1667
2020-06-03 17,17.9,0.181,,,10.7,0,16,1845
2020-06-03 18,16.1,0.19,,,12.1,0,18,1147
2020-06-03 19,14.4,0.218,,,15.7,0,14,370
2020-06-03 20,16.7,0.234,,,23.9,0,12,129
2020-06-03 21,18.5,0.216,,23.7,13.6,0,8,151
2020-06-03 22,16.9,0.22,,21.3,12.2,0,6,168
2020-06-03 23,14.2,0.206,,22.5,13.9,0,0,51
2020-06-04 00,12.2,0.193,,17.7,11.8,0,0,32
2020-06-04 01,10.2,,,16.9,10.1,0,0,19
2020-06-04 02,8,0.161,,20.4,10,0,1,13
2020-06-04 03,7.3,0.162,,20.6,11,0,3,33
2020-06-04 04,10.9,0.166,,22.4,11.1,0,21,69
2020-06-04 05,18.3,0.173,,22.6,14,0,22,149
2020-06-04 06,25.5,0.194,,24.3,12.8,0,22,300
2020-06-04 07,28.9,0.25,,33.3,12.9,0,26,461
2020-06-04 08,28.7,0.239,,41.7,16,0,28,186
2020-06-04 09,23.4,0.205,,35.3,15.5,0,0,257
2020-06-04 10,21.7,0.22,,29.6,14.4,0,24,252
2020-06-04 11,16.2,0.205,,27.6,14.7,1,25,157
2020-06-04 12,13.6,0.192,,31,14.9,8,18,450
2020-06-04 13,13.9,0.194,,25.7,11,44,22,587
2020-06-04 14,16.1,0.202,,22.4,10.3,31,13,644
2020-06-04 15,18.4,0.206,,16.1,7.6,17,19,759
2020-06-04 16,18.8,0.219,,15,6.6,16,0,441
2020-06-04 17,17.5,0.22,,15.8,6.8,24,14,948
2020-06-04 18,14.2,0.207,,10.9,5,41,17,542
2020-06-04 19,12.8,0.202,,7.8,5.3,41,13,143
2020-06-04 20,8.5,0.182,,9.9,3.7,25,12,252
2020-06-04 21,9,0.187,,13.3,6.3,18,0,242
2020-06-04 22,7.5,0.139,,12.9,8,16,6,164
2020-06-04 23,9,0.146,,12.9,7.1,8,0,23
2020-06-05 00,7,0.146,,13.6,6.9,4,1,50
2020-06-05 01,5.3,,,12.2,5.7,2,0,16
2020-06-05 02,4.7,0.141,,12.6,5,6,0,12
2020-06-05 03,5.9,0.149,,11.8,6.9,6,6,34
2020-06-05 04,9.2,0.157,,12.9,6.5,9,20,68
2020-06-05 05,14.6,0.171,,14.1,5.9,18,20,268
2020-06-05 06,16.5,0.197,,14.4,6.2,7,23,210
2020-06-05 07,13.5,0.185,,15.6,5.8,18,25,537
2020-06-05 08,13.3,0.195,,12.5,3.5,24,24,475
2020-06-05 09,13.5,0.194,,9.1,2.3,19,14,408
2020-06-05 10,10.6,0.207,,8.1,2.1,41,23,124
2020-06-05 11,10.9,0.187,,8.4,2.8,63,17,545
2020-06-05 12,11.9,0.173,,14.4,6.1,42,19,604
2020-06-05 13,7.7,0.157,,20.1,7.2,6,16,651
2020-06-05 14,8.3,0.161,,20.3,5.9,42,17,788
2020-06-05 15,12.2,0.182,,15.7,2.6,31,17,986
2020-06-05 16,11.2,0.17,,14.2,5.5,5,20,1108
2020-06-05 17,10.7,0.185,,13.4,6.6,38,16,1103
2020-06-05 18,10.6,0.193,,11.4,4.6,1,17,558
2020-06-05 19,13.8,0.207,,6.6,4.2,1,0,130
2020-06-05 20,10,0.188,,9.3,5.3,37,9,159
2020-06-05 21,9.7,0.186,,12,5.2,18,7,237
2020-06-05 22,8.4,0.102,,12.2,3.3,16,0,111
2020-06-05 23,7.8,0.101,,10.4,5.3,2,0,97
2020-06-06 00,7.1,0.096,,10.7,5.4,10,0,107
2020-06-06 01,5.8,,,10.2,2.9,7,0,47
2020-06-06 02,5.1,0.09,,9.4,4.4,4,0,43
2020-06-06 03,4.8,0.087,,9.1,4,0,2,26
2020-06-06 04,7,0.09,,8.3,4.1,6,9,45
2020-06-06 05,7.6,0.094,,7.3,3.7,0,19,32
2020-06-06 06,7.8,0.099,,5.9,1.8,15,0,88
2020-06-06 07,4.7,0.093,,5.7,4.9,6,8,110
2020-06-06 08,5,0.08,,6.3,4.8,1,12,301
2020-06-06 09,4.6,0.073,,11.3,2.7,36,0,672
2020-06-06 10,4.7,0.063,,11.9,3.2,43,9,621
2020-06-06 11,4.7,0.062,,5.9,4.9,15,0,742
2020-06-06 12,5.5,0.063,,7.2,2.3,11,12,1029
2020-06-06 13,5.6,0.069,,11,2.5,24,14,1178
2020-06-06 14,8,0.079,,9.9,1.3,25,12,1485
2020-06-06 15,7.9,0.08,,11.9,4.3,2,18,777
2020-06-06 16,10,0.083,,16.6,6.2,28,0,1343
2020-06-06 17,11.8,0.084,,14.7,6.1,44,14,1197
2020-06-06 18,10.7,0.073,,13.6,5.7,50,0,753
2020-06-06 19,8.5,0.065,,14.5,5.9,5,9,524
2020-06-06 20,10.2,0.073,,16.1,5.3,37,7,431
2020-06-06 21,11.5,0.08,,13.5,4.2,21,7,347
2020-06-06 22,12,0.105,,12.6,4.2,3,5,287
2020-06-06 23,12,0.101,,15.2,5.5,17,0,284
2020-06-07 00,9.3,0.105,,14.5,4.9,0,0,87
2020-06-07 01,,,,12.3,3.6,12,0,94
2020-06-07 02,5.8,0.106,,11.6,3.7,5,0,53
2020-06-07 03,6,0.102,,11.6,4.1,4,0,17
2020-06-07 04,5.1,0.107,,9.8,4.3,4,1,35
2020-06-07 05,5.9,0.112,,7.9,3.6,6,6,55
2020-06-07 06,5.5,0.117,,8.7,3.9,2,0,77
2020-06-07 07,4.9,0.122,,8.7,2.7,4,10,126
2020-06-07 08,5.1,0.126,,8.8,3.2,19,0,401
2020-06-07 09,5.6,0.132,,8.4,3.1,17,9,331
2020-06-07 10,5.9,0.142,,8.7,4.8,30,9,625
2020-06-07 11,6.6,0.139,,8,5.3,34,9,391
2020-06-07 12,6.2,0.139,,8.6,5.3,5,13,513
2020-06-07 13,4.4,0.131,,9.3,5.9,27,11,1015
2020-06-07 14,4.8,0.125,,13.4,3.8,40,13,550
2020-06-07 15,7.6,0.139,,9.8,4.6,41,13,654
2020-06-07 16,10.6,0.159,,12.1,5.1,37,16,829
2020-06-07 17,7.9,0.136,,10.5,6.7,43,0,791
2020-06-07 18,11.8,0.159,,14.7,7.5,28,11,105
2020-06-07 19,13.3,0.157,,15.5,8.7,0,11,324
2020-06-07 20,24.8,0.195,,16.2,9,10,7,267
2020-06-07 21,27.7,0.189,,16.6,9.6,9,0,65
2020-06-07 22,22.2,0.21,,12.7,7.7,3,5,84
2020-06-07 23,17.6,0.185,,14.5,7,4,3,43
2020-06-08 00,11.5,0.183,,13,6.3,6,0,25
2020-06-08 01,11.9,,,12.1,6.2,0,0,22
2020-06-08 02,11.3,0.193,,13.5,8.2,0,4,10
2020-06-08 03,15.6,0.197,,14,9.4,6,3,27
2020-06-08 04,24.1,0.204,,15,8.9,8,21,118
2020-06-08 05,31.1,0.217,,17.7,10.7,14,1,343
